Cust_id,Age,Name,Phone,Cust_Type
5674430,32,Rueben Perreault,(650) 763-4121,Online
5674431,20,Joey Peck,(924) 795-5495,Online
5674432,46,Dung Stine,(798) 041-3704,Online
5674433,,Joline Kitchen,(379) 385-1736,Online
5674434,40,Glinda Moody,(760) 373-0205,Online
5674435,46,Josie Huskey,(172) 940-2063,Online
5674436,31,Tomiko Duke,(534) 296-0813,Online
5674437,62,Debra Dobbs,(578) 186-0969,Online
5674438,,Antione Mercer,(841) 018-3546,Online
5674439,29,Robbie Kolb,(205) 478-6683,Online
5674440,37,Jeraldine Bobo,(794) 704-1569,Online
5674441,39,Jerrell Riggs,(878) 211-0233,Online
5674442,44,Jacinda Neely,(605) 802-7475,Online
5674443,19,Darwin Sayre,(724) 108-5278,Online
5674444,30,Quinn Pinson,(267) 791-9332,Online
5674445,37,Chloe Duvall,(704) 113-7494,Online
5674446,,Sherie Read,(755) 375-1598,Online
5674447,44,Shaquana Graves,(784) 787-0352,Online
5674448,49,Elmer Neil,(791) 888-7556,Online
5674449,28,Anita Ramsey,(885) 475-9537,Online
5674450,,Izetta Shultz,(564) 842-6553,Online
5674451,,Wayne Gordon,(420) 931-2485,Online
5674452,54,Gwyn Sorensen,(170) 932-1815,Online
5674453,35,Macy Gilbert,(714) 247-7523,Online
5674454,28,Ricky Shafer,(303) 241-7962,Online
5674455,43,Lashonda Barfield,(306) 793-4872,Online
5674456,46,Eulah Escamilla,(233) 098-1541,Online
5674457,,Talia Wilder,(392) 256-4183,Online
5674458,42,Raphael Purvis,(798) 090-4966,Online
5674459,47,Lauretta Taggart,(824) 006-9571,Online
5674460,49,Sabrina Spalding,(714) 147-5811,Online
5674461,32,Arletha Forrest,(539) 085-5795,Online
5674462,,Brenton Kowalski,(240) 228-6462,Online
5674463,47,Anthony Shannon,(362) 815-1225,Online
5674464,46,Percy Weathers,(349) 867-2746,Online
5674465,34,Brooke Skidmore,(106) 368-6361,Online
5674466,,Harley Leyva,(231) 141-2296,Online
